event,url,date,location,event_id,event_norm
UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,"June 22, 2019","Greenville, South Carolina, USA",481,ufc fight night: moicano vs. the korean zombie
UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,"June 08, 2019","Chicago, Illinois, USA",480,ufc 238: cejudo vs. moraes
UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,"June 01, 2019","Stockholm, Sweden",479,ufc fight night: gustafsson vs. smith
UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,"May 18, 2019","Rochester, New York, USA",478,ufc fight night: dos anjos vs. lee
UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,"May 11, 2019","Rio de Janeiro, Rio de Janeiro, Brazil",477,ufc 237: namajunas vs. andrade
UFC Fight Night: Iaquinta vs. Cowboy,http://ufcstats.com/event-details/351264d11286d09a,"May 04, 2019","Ottawa, Ontario, Canada",476,ufc fight night: iaquinta vs. cowboy
UFC Fight Night: Jacare vs. Hermansson,http://ufcstats.com/event-details/c912f676692c353a,"April 27, 2019","Sunrise, Florida, USA",475,ufc fight night: jacare vs. hermansson
UFC Fight Night: Overeem vs. Oleinik,http://ufcstats.com/event-details/7dcf06c1967801c1,"April 20, 2019","Saint Petersburg, Saint Petersburg, Russia",474,ufc fight night: overeem vs. oleinik
UFC 236: Holloway vs. Poirier 2,http://ufcstats.com/event-details/b0550072e5f0afa7,"April 13, 2019","Atlanta, Georgia, USA",473,ufc 236: holloway vs. poirier 2
UFC Fight Night: Barboza vs. Gaethje,http://ufcstats.com/event-details/9649d75defe0dedb,"March 30, 2019","Philadelphia, Pennsylvania, USA",472,ufc fight night: barboza vs. gaethje
UFC Fight Night: Thompson vs. Pettis,http://ufcstats.com/event-details/487c170da059857d,"March 23, 2019","Nashville, Tennessee, USA",471,ufc fight night: thompson vs. pettis
UFC Fight Night: Till vs. Masvidal,http://ufcstats.com/event-details/80eacd4da0617c57,"March 16, 2019","London, England, United Kingdom",470,ufc fight night: till vs. masvidal
UFC Fight Night: Lewis vs. Dos Santos,http://ufcstats.com/event-details/e96d8538d3f9d0ed,"March 09, 2019","Wichita, Kansas, USA",469,ufc fight night: lewis vs. dos santos
UFC 235: Jones vs. Smith,http://ufcstats.com/event-details/2d5fbe2103f97053,"March 02, 2019","Las Vegas, Nevada, USA",468,ufc 235: jones vs. smith
UFC Fight Night: Blachowicz vs. Santos,http://ufcstats.com/event-details/6546af7ab545b90c,"February 23, 2019","Prague, Czech Republic",467,ufc fight night: blachowicz vs. santos
UFC Fight Night: Ngannou vs. Velasquez,http://ufcstats.com/event-details/a7a79b8efbceaaac,"February 17, 2019","Phoenix, Arizona, USA",466,ufc fight night: ngannou vs. velasquez
UFC 234: Adesanya vs. Silva,http://ufcstats.com/event-details/b5882371e2a3900d,"February 09, 2019","Melbourne, Victoria, Australia",465,ufc 234: adesanya vs. silva
UFC Fight Night: Assuncao vs. Moraes 2,http://ufcstats.com/event-details/84283233ec42be5f,"February 02, 2019","Fortaleza, Ceara, Brazil",464,ufc fight night: assuncao vs. moraes 2
UFC Fight Night: Cejudo vs. Dillashaw,http://ufcstats.com/event-details/d4da8995fc91e7ef,"January 19, 2019","Brooklyn, New York, USA",463,ufc fight night: cejudo vs. dillashaw
UFC 232: Jones vs. Gustafsson 2,http://ufcstats.com/event-details/c046100aea0dba9a,"December 29, 2018","Los Angeles, California, USA",462,ufc 232: jones vs. gustafsson 2
UFC Fight Night: Lee vs. Iaquinta,http://ufcstats.com/event-details/7a703c565ccaa18f,"December 15, 2018","Milwaukee, Wisconsin, USA",461,ufc fight night: lee vs. iaquinta
UFC 231: Holloway vs. Ortega,http://ufcstats.com/event-details/2a74bbba57058f12,"December 08, 2018","Toronto, Ontario, Canada",460,ufc 231: holloway vs. ortega
UFC Fight Night: Dos Santos vs. Tuivasa,http://ufcstats.com/event-details/d1d20e651e6cbc02,"December 01, 2018","Adelaide, South Australia, Australia",459,ufc fight night: dos santos vs. tuivasa
The Ultimate Fighter: Heavy Hitters Finale,http://ufcstats.com/event-details/c7ac79839e86ce33,"November 30, 2018","Las Vegas, Nevada, USA",458,the ultimate fighter: heavy hitters finale
UFC Fight Night: Blaydes vs. Ngannou 2,http://ufcstats.com/event-details/de25520d54eab12d,"November 24, 2018","Beijing, China",457,ufc fight night: blaydes vs. ngannou 2
UFC Fight Night: Magny vs. Ponzinibbio,http://ufcstats.com/event-details/aa3153a9941b4d44,"November 17, 2018","Buenos Aires, Buenos Aires, Argentina",456,ufc fight night: magny vs. ponzinibbio
UFC Fight Night: Korean Zombie vs. Rodriguez,http://ufcstats.com/event-details/42c96a9c4802e2e1,"November 10, 2018","Denver, Colorado, USA",455,ufc fight night: korean zombie vs. rodriguez
UFC 230: Cormier vs. Lewis,http://ufcstats.com/event-details/20821819c401ced8,"November 03, 2018","New York City, New York, USA",454,ufc 230: cormier vs. lewis
UFC Fight Night: Oezdemir vs. Smith,http://ufcstats.com/event-details/33a331684283900f,"October 27, 2018","Moncton, New Brunswick, Canada",453,ufc fight night: oezdemir vs. smith
UFC 229: Khabib vs. McGregor,http://ufcstats.com/event-details/1ef0eae31904e534,"October 06, 2018","Las Vegas, Nevada, USA",452,ufc 229: khabib vs. mcgregor
UFC Fight Night: Marreta vs. Anders,http://ufcstats.com/event-details/852454c572675334,"September 22, 2018","Sao Paulo, Sao Paulo, Brazil",451,ufc fight night: marreta vs. anders
UFC Fight Night: Hunt vs. Oleinik,http://ufcstats.com/event-details/8d49545dadf9b919,"September 15, 2018","Moscow, Moscow, Russia",450,ufc fight night: hunt vs. oleinik
UFC 228: Woodley vs. Till,http://ufcstats.com/event-details/d5ae8074631762fc,"September 08, 2018","Dallas, Texas, USA",449,ufc 228: woodley vs. till
UFC Fight Night: Gaethje vs. Vick,http://ufcstats.com/event-details/c0342805a1948cbb,"August 25, 2018","Lincoln, Nebraska, USA",448,ufc fight night: gaethje vs. vick
UFC 227: Dillashaw vs. Garbrandt 2,http://ufcstats.com/event-details/03b1e846b09f721d,"August 04, 2018","Los Angeles, California, USA",447,ufc 227: dillashaw vs. garbrandt 2
