fighter_id,first,last,nickname,url
356,KB,Bhullar,The Bengal,http://ufcstats.com/fighter-details/9cd047a828dd7515
357,Bibulatov,Magomed,Chaborz,http://ufcstats.com/fighter-details/87f19d19f4cb73f8
358,David,Bielkheden,,http://ufcstats.com/fighter-details/1efa064872f089d0
359,Blake,Bilder,El Animal,http://ufcstats.com/fighter-details/5095b0920a3602aa
360,Jonas,Bilharinho,,http://ufcstats.com/fighter-details/ebbf571f349e79d9
361,Jeremiah,Billington,,http://ufcstats.com/fighter-details/b3b6e80b7d5f8f0d
362,Scott,Bills,,http://ufcstats.com/fighter-details/53f02bbc41d99432
363,Anthony,Birchak,El Toro,http://ufcstats.com/fighter-details/c5a126ace82a6025
364,Chris,Birchler,The Big Buck,http://ufcstats.com/fighter-details/8a22c6b4d29880a3
365,Angad,Bisht,,http://ufcstats.com/fighter-details/7b4ae3fd439a05b6
366,Michael,Bisping,The Count,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2
367,Amaury,Bitetti,,http://ufcstats.com/fighter-details/7a359ef685a304a7
368,Caio,Bittencourt,Leao,http://ufcstats.com/fighter-details/a653cb5eb4b39339
369,Davi,Bittencourt,The Black,http://ufcstats.com/fighter-details/dd6ec6f941c3a414
370,Simon,Biyong,,http://ufcstats.com/fighter-details/27ab7257bf6a3b65
371,Jan,Blachowicz,,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8
372,Jason,Black,The Black Legion,http://ufcstats.com/fighter-details/b2f743746e8dcfa2
373,Brad,Blackburn,Bad Brad,http://ufcstats.com/fighter-details/7e69a4b0961aa555
374,Jason,Blackford,,http://ufcstats.com/fighter-details/619d807fa54ae8f7
375,Tom,Blackledge,,http://ufcstats.com/fighter-details/2adb11835acd815b
376,Sherrard,Blackledge,The Thriller,http://ufcstats.com/fighter-details/0e5c79b3594ff0ad
377,Da'Mon,Blackshear,The Monster,http://ufcstats.com/fighter-details/da22387a0407a2dc
378,Chasen,Blair,Mestizo,http://ufcstats.com/fighter-details/0f4a536507f33576
379,Erin,Blanchfield,Cold Blooded,http://ufcstats.com/fighter-details/669970f7feba8ecd
380,Maximo,Blanco,Maxi,http://ufcstats.com/fighter-details/4a1329cc8eb0928a
381,David,Blanco,,http://ufcstats.com/fighter-details/ebf298f8ac7e232b
382,Curtis,Blaydes,Razor,http://ufcstats.com/fighter-details/fa6796c55d6c5440
383,Tereza,Bleda,,http://ufcstats.com/fighter-details/59c438c81fbf3ece
384,Arlene,Blencowe,Angerfist,http://ufcstats.com/fighter-details/35d6337320a4ae48
385,Byron,Bloodworth,,http://ufcstats.com/fighter-details/ecdf14f4f8643d39
386,Dashawn,Boatwright,"Buck, the 400-pound Silverback",http://ufcstats.com/fighter-details/046a85108610c0d2
387,Dan,Bobish,,http://ufcstats.com/fighter-details/f348d05403fad037
388,Mark,Bocek,,http://ufcstats.com/fighter-details/cf9d24e4bd0cf2ce
389,Kyle,Bochniak,Killer B,http://ufcstats.com/fighter-details/c5af5750e8bae4f0
390,James,Bochnovic,,http://ufcstats.com/fighter-details/984d15d5dc7bfcf9
391,Jeremy,Boczulak,,http://ufcstats.com/fighter-details/1afd74f8cb0719f3
392,Tim,Boetsch,The Barbarian,http://ufcstats.com/fighter-details/c80095f6092271a7
393,Galore,Bofando,,http://ufcstats.com/fighter-details/8a56ea383fd26e52
394,Jay,Bogan,,http://ufcstats.com/fighter-details/53c21779d84ceb75
395,Roman,Bogatov,,http://ufcstats.com/fighter-details/d61316139d68dbe3
