fight_id,fighter_id,round,kd,sig.str. %,td %,sub.att,rev.,ctrl,sig.str._landed,sig.str._attempted,total str._landed,total str._attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
7932,800,round 1,0,37%,---,0,0,0:00,13,35,14,36,0,0,4,24,4,6,5,5,13,35,0,0,0,0
7932,800,round 2,0,43%,---,0,0,0:00,21,48,21,48,0,0,11,33,8,12,2,3,21,48,0,0,0,0
7932,800,round 3,0,28%,---,0,0,0:00,13,46,13,46,0,0,6,36,2,5,5,5,13,46,0,0,0,0
7931,170,round 1,0,56%,---,0,0,0:00,17,30,20,33,0,0,13,26,1,1,3,3,16,29,1,1,0,0
7931,170,round 2,0,56%,---,1,0,1:04,14,25,49,64,0,0,11,21,1,2,2,2,9,18,0,0,5,7
7931,170,round 3,0,56%,100%,0,0,1:21,17,30,36,55,3,3,10,23,2,2,5,5,16,29,0,0,1,1
7931,3698,round 1,0,33%,---,0,0,0:04,22,65,22,65,0,0,10,43,1,6,11,16,21,64,1,1,0,0
7931,3698,round 2,0,73%,25%,1,0,2:37,11,15,16,20,1,4,8,11,2,3,1,1,7,11,2,2,2,2
7931,3698,round 3,0,48%,0%,0,0,0:49,25,52,38,70,0,3,8,29,7,10,10,13,17,42,8,10,0,0
7930,3432,round 1,0,67%,---,0,0,0:00,21,31,21,31,0,0,13,23,3,3,5,5,21,31,0,0,0,0
7930,3432,round 2,1,57%,---,0,0,0:14,24,42,25,43,0,0,21,39,0,0,3,3,16,32,1,1,7,9
7930,3432,round 3,0,55%,---,0,0,0:02,22,40,28,46,0,0,19,35,3,5,0,0,20,38,2,2,0,0
7930,2265,round 1,0,30%,---,0,0,0:00,19,63,19,63,0,0,6,36,7,14,6,13,19,62,0,1,0,0
7930,2265,round 2,0,33%,0%,0,0,0:19,26,78,28,80,0,2,8,49,10,19,8,10,25,76,1,2,0,0
7930,2265,round 3,0,47%,0%,0,0,1:01,45,95,65,117,0,4,15,58,22,29,8,8,31,77,14,18,0,0
7929,2444,round 1,0,38%,---,0,0,0:00,7,18,7,18,0,0,0,11,1,1,6,6,7,18,0,0,0,0
